Track,mi,menv,z,y,yc,mass,radius,age,teff,logg,luminosity,chisq,total_merit,fa,f8,f15,f18,f22,f27,f28,f31,f34,f37
logs_mi1.05_z0.005_lvl1/logs_mi1.05_menv0.0001_rot0.0_z0.005_y0.2565_fh0.0_fhe0.0_fsh0.0_mlt1.8_sc0.1_reimers0.0_blocker0.0_turbulence0.0_lvl1_11860,1.05,0.0001,0.005,0.2565,0.15,0.478707,0.126383,6821177448.317118,36.873311,5.914583,26.528164,1448.666,24.62606,6172.923069051962,567.2958170871954,6709.85688780594,7808.387727433659,11288.07725811803,7212.78212106904,136.55409597574553,1900.5298161563185,13857.808560287556,4990.069345852798
logs_mi1.05_z0.005_lvl1/logs_mi1.05_menv0.0001_rot0.0_z0.005_y0.2565_fh0.0_fhe0.0_fsh0.0_mlt1.8_sc0.1_reimers0.0_blocker0.0_turbulence0.0_lvl1_11860,1.05,0.0001,0.005,0.2565,0.1,0.478707,0.125718,6828357448.317118,37.401341,5.919163,27.786087,1560.006,20.932806,1407.4076905601382,8399.352925296247,9857.875709860113,5732.110343513336,1797.861355657408,238.92678071767935,3319.234260910147,12366.255354823603,431.35666571439015,267.8573545755683
logs_mi1.05_z0.005_lvl1/logs_mi1.05_menv0.0001_rot0.0_z0.005_y0.2565_fh0.0_fhe0.0_fsh0.0_mlt1.8_sc0.1_reimers0.0_blocker0.0_turbulence0.0_lvl1_11860,1.05,0.0001,0.005,0.2565,0.25,0.478707,0.125022,6806537448.317118,36.284334,5.923987,24.340562,1334.375,25.81453,3531.7401068395084,59.19552223873667,10314.05292183441,19822.06477904113,10127.264418071918,2380.6594191881986,1.3824660022619921,2892.0325077626603,14700.194536942832,2810.410786736491
logs_mi1.05_z0.005_lvl1/logs_mi1.05_menv0.0001_rot0.0_z0.005_y0.2565_fh0.0_fhe0.0_fsh0.0_mlt1.8_sc0.1_reimers0.0_blocker0.0_turbulence0.0_lvl1_11860,1.05,0.0001,0.005,0.2565,0.2,0.478707,0.126003,6814017448.317118,36.529713,5.9172,25.399553,1380.38,29.134892,10733.052669364488,12.842890950466535,6610.9778703592765,15315.026886738973,14776.551898839494,9924.521317142753,1070.8955149773471,1736.794680636329,17549.11748594637,7154.413878458391
logs_mi1.05_z0.005_lvl1/logs_mi1.05_menv0.0001_rot0.0_z0.005_y0.2565_fh0.0_fhe0.0_fsh0.0_mlt1.8_sc0.1_reimers0.0_blocker0.0_turbulence0.0_lvl1_11860,1.05,0.0001,0.005,0.2565,0.35,0.478707,0.122382,6793137448.317118,35.96326,5.942522,22.508977,1278.927,22.042374,758.1279567949825,14234.59806352607,9988.621920809945,4858.489506329636,834.6353409287582,31.940370759859103,3471.3226274541053,11398.685176740188,2714.2419133127382,295.9631247090566
logs_mi1.05_z0.005_lvl1/logs_mi1.05_menv0.0001_rot0.0_z0.005_y0.2565_fh0.0_fhe0.0_fsh0.0_mlt1.8_sc0.1_reimers0.0_blocker0.0_turbulence0.0_lvl1_11860,1.05,0.0001,0.005,0.2565,0.3,0.478707,0.123785,6799837448.317118,36.101781,5.932624,23.384731,1301.984,19.176132,76.71343330232851,1904.4166988712423,15683.044865685086,3341.932017911376,3795.282440751917,1846.344070216519,528.3129918935113,5567.141718448457,3050.396807279694,978.8197737201898
logs_mi1.05_z0.005_lvl1/logs_mi1.05_menv0.0001_rot0.0_z0.005_y0.2565_fh0.0_fhe0.0_fsh0.0_mlt1.8_sc0.1_reimers0.0_blocker0.0_turbulence0.0_lvl1_11860,1.05,0.0001,0.005,0.2565,0.45,0.478707,0.119244,6778937448.317118,35.776399,5.965088,20.928588,1251.648,17.884616,2.9470230574205902,549.0687671772479,2116.7642824446757,3762.8515943615457,8512.266557821002,2268.076494388233,7617.236957624146,3538.38816641337,430.326243616916,3188.0226544850184
logs_mi1.05_z0.005_lvl1/logs_mi1.05_menv0.0001_rot0.0_z0.005_y0.2565_fh0.0_fhe0.0_fsh0.0_mlt1.8_sc0.1_reimers0.0_blocker0.0_turbulence0.0_lvl1_11860,1.05,0.0001,0.005,0.2565,0.4,0.478707,0.120866,6786157448.317118,35.858175,5.953352,21.699106,1262.832,20.082321,12341.458747587654,4345.537195571152,1321.5840449932446,113.47110273978176,772.1338272415613,2399.747272290055,11525.234806469636,6656.3473072540155,629.0418353756031,225.40419784614517
logs_mi1.05_z0.005_lvl1/logs_mi1.05_menv0.0001_rot0.0_z0.005_y0.2565_fh0.0_fhe0.0_fsh0.0_mlt1.8_sc0.1_reimers0.0_blocker0.0_turbulence0.0_lvl1_11860,1.05,0.0001,0.005,0.2565,0.55,0.478707,0.116022,6765457448.317118,35.665503,5.988876,19.568563,1239.663,19.454191,1689.1965521601217,274.1233737171053,702.1509467145579,781.176679753965,1004.899316608065,1612.9140826574317,264.7833279104901,3282.9036438282774,12122.29257479889,16112.11323921593
logs_mi1.05_z0.005_lvl1/logs_mi1.05_menv0.0001_rot0.0_z0.005_y0.2565_fh0.0_fhe0.0_fsh0.0_mlt1.8_sc0.1_reimers0.0_blocker0.0_turbulence0.0_lvl1_11860,1.05,0.0001,0.005,0.2565,0.5,0.478707,0.117635,6772197448.317118,35.7124,5.976889,20.222229,1243.969,27.39989,13562.274231334011,11957.221600448938,2014.4663851546204,9315.784975141149,11022.104538562577,11783.463076328731,2174.2588358372595,15.953122402176522,4216.470185150495,9013.399223880646
logs_mi1.05_z0.005_lvl1/logs_mi1.05_menv0.0001_rot0.0_z0.005_y0.2565_fh0.0_fhe0.0_fsh0.0_mlt1.8_sc0.1_reimers0.0_blocker0.0_turbulence0.0_lvl1_11860,1.05,0.0001,0.005,0.2565,0.65,0.478707,0.112818,6751637448.317118,35.626551,6.0132,18.421985,1241.624,20.280296,508.5446896734712,804.8739168453841,9489.33754426563,6880.925983888146,8201.343212600605,4223.2093690219635,6327.014317381359,4200.993484366532,387.00160499345156,105.7968666365436
logs_mi1.05_z0.005_lvl1/logs_mi1.05_menv0.0001_rot0.0_z0.005_y0.2565_fh0.0_fhe0.0_fsh0.0_mlt1.8_sc0.1_reimers0.0_blocker0.0_turbulence0.0_lvl1_11860,1.05,0.0001,0.005,0.2565,0.6,0.478707,0.114417,6758657448.317118,35.635786,6.00098,18.967376,1238.686,24.011207,8406.331578869838,11618.991828125974,3756.8101115713457,3711.9018393799856,2735.601916427308,1380.8239841384643,7309.561121472304,15003.63206833492,214.5730329947594,3515.577917419835
logs_mi1.05_z0.005_lvl1/logs_mi1.05_menv0.0001_rot0.0_z0.005_y0.2565_fh0.0_fhe0.0_fsh0.0_mlt1.8_sc0.1_reimers0.0_blocker0.0_turbulence0.0_lvl1_11860,1.05,0.0001,0.005,0.2565,0.75,0.478707,0.109638,6737717448.317118,35.648831,6.038034,17.441674,1255.428,33.046597,6381.37804398387,18255.288333255347,5085.168550365722,5030.5512099738,7534.084942058261,9926.84772626721,15434.753093462432,14623.837115188055,13717.860387377894,13217.990051888857
logs_mi1.05_z0.005_lvl1/logs_mi1.05_menv0.0001_rot0.0_z0.005_y0.2565_fh0.0_fhe0.0_fsh0.0_mlt1.8_sc0.1_reimers0.0_blocker0.0_turbulence0.0_lvl1_11860,1.05,0.0001,0.005,0.2565,0.7,0.478707,0.111219,6744617448.317118,35.629804,6.0256,17.909987,1247.019,16.066156,13853.612780586562,1423.7336982094662,1180.191262185553,1235.717097450912,714.1455456045705,110.74187228148834,213.19986491970556,712.0251701234401,3010.8790428747407,3357.890118402753
